"","id","personagem","diálogo"
"7",7,"VADER","Você pode dispensar as gentilezas, Comandante. Estou aqui para colocá-lo de volta na programação."
"9",9,"VADER","Talvez eu possa encontrar novas maneiras de motivá-los."
"11",11,"VADER","O Imperador não compartilha de sua avaliação otimista da situação."
"13",13,"VADER","Então talvez você possa dizer a ele quando ele chegar."
"15",15,"VADER","Correto, Comandante. E ele está muito descontente com sua aparente falta de progresso."
"17",17,"VADER","Espero que sim, Comandante, para o seu bem. O Imperador não perdoa tanto quanto eu."
"198",198,"VADER","A Estrela da Morte será concluída dentro do prazo."
"200",200,"VADER","Sim, meu Mestre."
"202",202,"VADER","Como quiser."
"301",301,"VADER","Qual é a tua ordem, meu Mestre?"
"303",303,"VADER","E os relatórios da frota Rebelde se concentrando perto de Sullust ?"
"305",305,"VADER","Sim, meu Mestre."
"318",318,"VADER","Para onde vai essa nave?"
"321",321,"VADER","Eles têm uma autorização de código?"
"324",324,"VADER","Não. Deixe-os comigo. Eu mesmo lidarei com eles."
"369",369,"VADER","O Imperador vai me ver agora!"
"372",372,"VADER","Uma pequena força rebelde penetrou no escudo e pousou em Endor."
"374",374,"VADER","Meu filho está com eles."
"376",376,"VADER","Eu o senti, meu Mestre."
"378",378,"VADER","Eles são claros, meu Mestre."
"380",380,"VADER","Ele virá até mim?"
"382",382,"VADER","Como desejar."
"473",473,"VADER","Bom trabalho, comandante. Deixe-nos. Conduza sua busca e traga seus companheiros para mim."
"475",475,"VADER","O Imperador estava esperando por você."
"477",477,"VADER","Então, você aceitou a verdade."
"479",479,"VADER","Esse nome não tem mais significado para mim."
"481",481,"VADER","Vejo que você construiu um novo sabre de luz."
"482",482,"VADER","Suas habilidades estão completas. De fato, você é poderoso, como o Imperador previu."
"484",484,"VADER","Obi-Wan já pensou como você."
"485",485,"VADER","Você não conhece o poder do lado negro. Devo obedecer meu mestre."
"487",487,"VADER","Se esse for o seu destino."
"489",489,"VADER","É tarde demais para mim, filho. O Imperador lhe mostrará a verdadeira natureza da Força. Ele é seu mestre agora."
"518",518,"VADER","Seu sabre de luz."
"525",525,"VADER","É inútil resistir, meu filho."
"615",615,"VADER","Obi-Wan te ensinou bem."
"617",617,"VADER","Você é imprudente em baixar suas defesas."
"619",619,"VADER","Não há conflito."
"621",621,"VADER","Você subestima o poder do lado negro. Se você não lutar, então você encontrará seu destino."
"631",631,"VADER","Você não pode se esconder para sempre, Luke."
"633",633,"VADER","Entregue-se ao lado sombrio. É a única maneira de salvar seus amigos. Sim, seus pensamentos o traem. Seus sentimentos por eles são fortes. Especialmente por..."
"634",634,"VADER","Irmã! Então... você tem uma irmã gêmea. Seus sentimentos agora a traíram também. Obi-Wan foi sábio em escondê-la de mim. Agora o fracasso dele está completo. Se você não se transformar para o lado negro, então talvez ela vá."
"659",659,"VADER","Luke, me ajude a tirar essa máscara."
"661",661,"VADER","Nada pode parar isso agora. Só por uma vez... deixe-me olhar para você com meus próprios olhos."
